15/04/06 18:46:59 WARN conf.HiveConf: HiveConf of name hive.optimize.mapjoin.mapreduce does not exist
15/04/06 18:46:59 WARN conf.HiveConf: HiveConf of name hive.heapsize does not exist
15/04/06 18:46:59 WARN conf.HiveConf: HiveConf of name hive.server2.enable.impersonation does not exist
15/04/06 18:46:59 WARN conf.HiveConf: HiveConf of name hive.auto.convert.sortmerge.join.noconditionaltask does not exist

Logging initialized using configuration in file:/etc/hive/conf/hive-log4j.properties
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/usr/hdp/2.2.0.0-2041/hadoop/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/usr/hdp/2.2.0.0-2041/hive/lib/hive-jdbc-0.14.0.2.2.0.0-2041-standalone.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
hive> use tpcds_bin_partitioned_orc_100; source query22.sql;
OK
Time taken: 2.945 seconds
Query ID = root_20150406184747_57f3177e-743e-4f7d-a126-e2598a5e2747
Total jobs = 2
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/usr/hdp/2.2.0.0-2041/hadoop/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/usr/hdp/2.2.0.0-2041/hive/lib/hive-jdbc-0.14.0.2.2.0.0-2041-standalone.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
15/04/06 18:47:20 WARN conf.HiveConf: HiveConf of name hive.optimize.mapjoin.mapreduce does not exist
15/04/06 18:47:20 WARN conf.HiveConf: HiveConf of name hive.heapsize does not exist
15/04/06 18:47:20 WARN conf.HiveConf: HiveConf of name hive.server2.enable.impersonation does not exist
15/04/06 18:47:20 WARN conf.HiveConf: HiveConf of name hive.auto.convert.sortmerge.join.noconditionaltask does not exist
Execution log at: /tmp/root/root_20150406184747_57f3177e-743e-4f7d-a126-e2598a5e2747.log
2015-04-06 06:47:21	Starting to launch local task to process map join;	maximum memory = 1065484288
2015-04-06 06:47:29	Processing rows:	200000	Hashtable size:	199999	Memory usage:	99362872	percentage:	0.093
2015-04-06 06:47:30	Dump the side-table for tag: 1 with group count: 15 into file: file:/tmp/root/f1bf26e8-0e83-4e03-bd87-27841b43e520/hive_2015-04-06_18-47-06_075_2471309062596268045-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile01--.hashtable
2015-04-06 06:47:30	Uploaded 1 File to: file:/tmp/root/f1bf26e8-0e83-4e03-bd87-27841b43e520/hive_2015-04-06_18-47-06_075_2471309062596268045-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile01--.hashtable (533 bytes)
2015-04-06 06:47:30	Dump the side-table for tag: 1 with group count: 204000 into file: file:/tmp/root/f1bf26e8-0e83-4e03-bd87-27841b43e520/hive_2015-04-06_18-47-06_075_2471309062596268045-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile11--.hashtable
2015-04-06 06:47:30	Uploaded 1 File to: file:/tmp/root/f1bf26e8-0e83-4e03-bd87-27841b43e520/hive_2015-04-06_18-47-06_075_2471309062596268045-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile11--.hashtable (15937240 bytes)
2015-04-06 06:47:30	Dump the side-table for tag: 1 with group count: 366 into file: file:/tmp/root/f1bf26e8-0e83-4e03-bd87-27841b43e520/hive_2015-04-06_18-47-06_075_2471309062596268045-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile21--.hashtable
2015-04-06 06:47:30	Uploaded 1 File to: file:/tmp/root/f1bf26e8-0e83-4e03-bd87-27841b43e520/hive_2015-04-06_18-47-06_075_2471309062596268045-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile21--.hashtable (9453 bytes)
2015-04-06 06:47:30	End of local task; Time Taken: 8.916 sec.
Execution completed successfully
MapredLocal task succeeded
Launching Job 1 out of 2
Number of reduce tasks not specified. Estimated from input data size: 10
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1428164231378_0019, Tracking URL = http://f01hn02.hadoop:8088/proxy/application_1428164231378_0019/
Kill Command = /usr/hdp/2.2.0.0-2041/hadoop/bin/hadoop job  -kill job_1428164231378_0019
Hadoop job information for Stage-4: number of mappers: 5; number of reducers: 10
2015-04-06 18:47:43,596 Stage-4 map = 0%,  reduce = 0%
2015-04-06 18:47:51,218 Stage-4 map = 20%,  reduce = 0%, Cumulative CPU 4.7 sec
2015-04-06 18:47:53,362 Stage-4 map = 25%,  reduce = 0%, Cumulative CPU 29.16 sec
2015-04-06 18:47:56,815 Stage-4 map = 27%,  reduce = 0%, Cumulative CPU 52.15 sec
2015-04-06 18:48:00,060 Stage-4 map = 29%,  reduce = 0%, Cumulative CPU 66.58 sec
2015-04-06 18:48:02,232 Stage-4 map = 30%,  reduce = 7%, Cumulative CPU 79.76 sec
2015-04-06 18:48:03,313 Stage-4 map = 31%,  reduce = 7%, Cumulative CPU 85.49 sec
2015-04-06 18:48:05,478 Stage-4 map = 32%,  reduce = 7%, Cumulative CPU 99.31 sec
2015-04-06 18:48:15,348 Stage-4 map = 33%,  reduce = 7%, Cumulative CPU 154.08 sec
2015-04-06 18:48:20,878 Stage-4 map = 35%,  reduce = 7%, Cumulative CPU 181.39 sec
2015-04-06 18:48:51,513 Stage-4 map = 36%,  reduce = 7%, Cumulative CPU 357.58 sec
2015-04-06 18:49:10,226 Stage-4 map = 38%,  reduce = 7%, Cumulative CPU 453.4 sec
2015-04-06 18:49:12,374 Stage-4 map = 41%,  reduce = 7%, Cumulative CPU 466.38 sec
2015-04-06 18:49:15,596 Stage-4 map = 44%,  reduce = 7%, Cumulative CPU 483.59 sec
2015-04-06 18:49:19,054 Stage-4 map = 45%,  reduce = 7%, Cumulative CPU 502.94 sec
2015-04-06 18:49:24,457 Stage-4 map = 46%,  reduce = 7%, Cumulative CPU 530.32 sec
2015-04-06 18:49:27,675 Stage-4 map = 47%,  reduce = 7%, Cumulative CPU 546.74 sec
2015-04-06 18:49:34,321 Stage-4 map = 49%,  reduce = 7%, Cumulative CPU 573.74 sec
2015-04-06 18:49:37,536 Stage-4 map = 50%,  reduce = 7%, Cumulative CPU 589.3 sec
2015-04-06 18:49:39,685 Stage-4 map = 51%,  reduce = 7%, Cumulative CPU 603.79 sec
2015-04-06 18:49:41,828 Stage-4 map = 52%,  reduce = 7%, Cumulative CPU 609.81 sec
2015-04-06 18:49:45,233 Stage-4 map = 52%,  reduce = 9%, Cumulative CPU 623.24 sec
2015-04-06 18:49:46,308 Stage-4 map = 52%,  reduce = 13%, Cumulative CPU 632.92 sec
2015-04-06 18:50:32,077 Stage-4 map = 53%,  reduce = 13%, Cumulative CPU 827.81 sec
2015-04-06 18:51:33,022 Stage-4 map = 53%,  reduce = 13%, Cumulative CPU 1067.41 sec
2015-04-06 18:51:48,182 Stage-4 map = 54%,  reduce = 13%, Cumulative CPU 1123.46 sec
2015-04-06 18:52:48,993 Stage-4 map = 54%,  reduce = 13%, Cumulative CPU 1368.45 sec
2015-04-06 18:52:57,782 Stage-4 map = 55%,  reduce = 13%, Cumulative CPU 1401.75 sec
2015-04-06 18:53:58,626 Stage-4 map = 55%,  reduce = 13%, Cumulative CPU 1652.92 sec
2015-04-06 18:54:10,611 Stage-4 map = 56%,  reduce = 13%, Cumulative CPU 1709.78 sec
2015-04-06 18:54:35,510 Stage-4 map = 57%,  reduce = 13%, Cumulative CPU 1804.48 sec
2015-04-06 18:54:38,713 Stage-4 map = 58%,  reduce = 13%, Cumulative CPU 1814.91 sec
2015-04-06 18:54:40,850 Stage-4 map = 59%,  reduce = 13%, Cumulative CPU 1822.31 sec
2015-04-06 18:54:44,262 Stage-4 map = 60%,  reduce = 13%, Cumulative CPU 1832.96 sec
2015-04-06 18:54:47,467 Stage-4 map = 61%,  reduce = 13%, Cumulative CPU 1847.32 sec
2015-04-06 18:54:50,653 Stage-4 map = 62%,  reduce = 13%, Cumulative CPU 1858.46 sec
2015-04-06 18:54:53,856 Stage-4 map = 63%,  reduce = 13%, Cumulative CPU 1869.63 sec
2015-04-06 18:54:57,255 Stage-4 map = 64%,  reduce = 13%, Cumulative CPU 1880.48 sec
2015-04-06 18:55:09,192 Stage-4 map = 65%,  reduce = 13%, Cumulative CPU 1929.85 sec
2015-04-06 18:55:18,759 Stage-4 map = 66%,  reduce = 13%, Cumulative CPU 1967.64 sec
2015-04-06 18:55:27,535 Stage-4 map = 67%,  reduce = 13%, Cumulative CPU 2008.01 sec
2015-04-06 18:55:39,485 Stage-4 map = 68%,  reduce = 13%, Cumulative CPU 2056.65 sec
2015-04-06 18:55:58,047 Stage-4 map = 69%,  reduce = 13%, Cumulative CPU 2110.02 sec
2015-04-06 18:56:06,631 Stage-4 map = 70%,  reduce = 13%, Cumulative CPU 2145.1 sec
2015-04-06 18:56:31,760 Stage-4 map = 71%,  reduce = 13%, Cumulative CPU 2239.93 sec
2015-04-06 18:56:46,917 Stage-4 map = 72%,  reduce = 13%, Cumulative CPU 2288.31 sec
2015-04-06 18:56:47,952 Stage-4 map = 66%,  reduce = 13%, Cumulative CPU 1605.09 sec
