15/04/07 06:57:26 WARN conf.HiveConf: HiveConf of name hive.optimize.mapjoin.mapreduce does not exist
15/04/07 06:57:26 WARN conf.HiveConf: HiveConf of name hive.heapsize does not exist
15/04/07 06:57:26 WARN conf.HiveConf: HiveConf of name hive.server2.enable.impersonation does not exist
15/04/07 06:57:26 WARN conf.HiveConf: HiveConf of name hive.auto.convert.sortmerge.join.noconditionaltask does not exist

Logging initialized using configuration in file:/etc/hive/conf/hive-log4j.properties
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/usr/hdp/2.2.0.0-2041/hadoop/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/usr/hdp/2.2.0.0-2041/hive/lib/hive-jdbc-0.14.0.2.2.0.0-2041-standalone.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
hive> use tpcds_bin_partitioned_orc_100; source query22.sql;
OK
Time taken: 3.092 seconds
Query ID = root_20150407065757_83ae7e1f-ba1c-4cf8-958e-5a04338a3f07
Total jobs = 2
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/usr/hdp/2.2.0.0-2041/hadoop/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/usr/hdp/2.2.0.0-2041/hive/lib/hive-jdbc-0.14.0.2.2.0.0-2041-standalone.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
15/04/07 06:57:48 WARN conf.HiveConf: HiveConf of name hive.optimize.mapjoin.mapreduce does not exist
15/04/07 06:57:48 WARN conf.HiveConf: HiveConf of name hive.heapsize does not exist
15/04/07 06:57:48 WARN conf.HiveConf: HiveConf of name hive.server2.enable.impersonation does not exist
15/04/07 06:57:48 WARN conf.HiveConf: HiveConf of name hive.auto.convert.sortmerge.join.noconditionaltask does not exist
Execution log at: /tmp/root/root_20150407065757_83ae7e1f-ba1c-4cf8-958e-5a04338a3f07.log
2015-04-07 06:57:50	Starting to launch local task to process map join;	maximum memory = 1065484288
2015-04-07 06:57:58	Processing rows:	200000	Hashtable size:	199999	Memory usage:	99418344	percentage:	0.093
2015-04-07 06:57:58	Dump the side-table for tag: 1 with group count: 15 into file: file:/tmp/root/f159e24f-c50a-4c52-a8b2-91f5543a3665/hive_2015-04-07_06-57-34_017_8938087494264106159-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile01--.hashtable
2015-04-07 06:57:58	Uploaded 1 File to: file:/tmp/root/f159e24f-c50a-4c52-a8b2-91f5543a3665/hive_2015-04-07_06-57-34_017_8938087494264106159-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile01--.hashtable (533 bytes)
2015-04-07 06:57:58	Dump the side-table for tag: 1 with group count: 204000 into file: file:/tmp/root/f159e24f-c50a-4c52-a8b2-91f5543a3665/hive_2015-04-07_06-57-34_017_8938087494264106159-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile11--.hashtable
2015-04-07 06:57:59	Uploaded 1 File to: file:/tmp/root/f159e24f-c50a-4c52-a8b2-91f5543a3665/hive_2015-04-07_06-57-34_017_8938087494264106159-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile11--.hashtable (15937240 bytes)
2015-04-07 06:57:59	Dump the side-table for tag: 1 with group count: 366 into file: file:/tmp/root/f159e24f-c50a-4c52-a8b2-91f5543a3665/hive_2015-04-07_06-57-34_017_8938087494264106159-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile21--.hashtable
2015-04-07 06:57:59	Uploaded 1 File to: file:/tmp/root/f159e24f-c50a-4c52-a8b2-91f5543a3665/hive_2015-04-07_06-57-34_017_8938087494264106159-1/-local-10008/HashTable-Stage-4/MapJoin-mapfile21--.hashtable (9453 bytes)
2015-04-07 06:57:59	End of local task; Time Taken: 8.934 sec.
Execution completed successfully
MapredLocal task succeeded
Launching Job 1 out of 2
Number of reduce tasks not specified. Estimated from input data size: 10
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1428405026382_0014, Tracking URL = http://f01hn02.hadoop:8088/proxy/application_1428405026382_0014/
Kill Command = /usr/hdp/2.2.0.0-2041/hadoop/bin/hadoop job  -kill job_1428405026382_0014
Hadoop job information for Stage-4: number of mappers: 5; number of reducers: 10
2015-04-07 06:58:11,981 Stage-4 map = 0%,  reduce = 0%
2015-04-07 06:58:19,808 Stage-4 map = 20%,  reduce = 0%, Cumulative CPU 4.16 sec
2015-04-07 06:58:21,982 Stage-4 map = 25%,  reduce = 0%, Cumulative CPU 38.5 sec
2015-04-07 06:58:25,228 Stage-4 map = 28%,  reduce = 0%, Cumulative CPU 53.58 sec
2015-04-07 06:58:28,464 Stage-4 map = 29%,  reduce = 0%, Cumulative CPU 66.94 sec
2015-04-07 06:58:29,559 Stage-4 map = 29%,  reduce = 7%, Cumulative CPU 69.97 sec
2015-04-07 06:58:31,718 Stage-4 map = 31%,  reduce = 7%, Cumulative CPU 85.67 sec
2015-04-07 06:58:34,123 Stage-4 map = 32%,  reduce = 7%, Cumulative CPU 100.18 sec
2015-04-07 06:58:40,622 Stage-4 map = 33%,  reduce = 7%, Cumulative CPU 129.37 sec
2015-04-07 06:58:47,311 Stage-4 map = 34%,  reduce = 7%, Cumulative CPU 158.93 sec
2015-04-07 06:58:49,432 Stage-4 map = 35%,  reduce = 7%, Cumulative CPU 172.91 sec
2015-04-07 06:59:16,740 Stage-4 map = 36%,  reduce = 7%, Cumulative CPU 318.29 sec
2015-04-07 06:59:35,168 Stage-4 map = 38%,  reduce = 7%, Cumulative CPU 411.86 sec
2015-04-07 06:59:38,390 Stage-4 map = 41%,  reduce = 7%, Cumulative CPU 425.03 sec
2015-04-07 06:59:41,794 Stage-4 map = 44%,  reduce = 7%, Cumulative CPU 441.54 sec
2015-04-07 06:59:43,936 Stage-4 map = 45%,  reduce = 7%, Cumulative CPU 448.27 sec
2015-04-07 06:59:50,365 Stage-4 map = 47%,  reduce = 7%, Cumulative CPU 481.11 sec
2015-04-07 06:59:53,591 Stage-4 map = 48%,  reduce = 7%, Cumulative CPU 496.56 sec
2015-04-07 06:59:55,970 Stage-4 map = 50%,  reduce = 7%, Cumulative CPU 500.25 sec
2015-04-07 06:59:59,191 Stage-4 map = 51%,  reduce = 7%, Cumulative CPU 520.09 sec
2015-04-07 07:00:03,477 Stage-4 map = 52%,  reduce = 7%, Cumulative CPU 538.39 sec
2015-04-07 07:00:04,547 Stage-4 map = 52%,  reduce = 8%, Cumulative CPU 541.57 sec
2015-04-07 07:00:06,695 Stage-4 map = 52%,  reduce = 9%, Cumulative CPU 551.99 sec
2015-04-07 07:00:07,766 Stage-4 map = 52%,  reduce = 13%, Cumulative CPU 553.01 sec
2015-04-07 07:00:57,789 Stage-4 map = 53%,  reduce = 13%, Cumulative CPU 753.11 sec
2015-04-07 07:01:58,377 Stage-4 map = 53%,  reduce = 13%, Cumulative CPU 994.88 sec
2015-04-07 07:02:07,154 Stage-4 map = 54%,  reduce = 13%, Cumulative CPU 1028.26 sec
2015-04-07 07:03:07,815 Stage-4 map = 54%,  reduce = 13%, Cumulative CPU 1276.32 sec
2015-04-07 07:03:22,943 Stage-4 map = 55%,  reduce = 13%, Cumulative CPU 1342.58 sec
2015-04-07 07:04:23,503 Stage-4 map = 55%,  reduce = 13%, Cumulative CPU 1579.22 sec
2015-04-07 07:04:36,510 Stage-4 map = 56%,  reduce = 13%, Cumulative CPU 1628.1 sec
2015-04-07 07:04:57,034 Stage-4 map = 57%,  reduce = 13%, Cumulative CPU 1708.47 sec
2015-04-07 07:05:00,234 Stage-4 map = 58%,  reduce = 13%, Cumulative CPU 1719.01 sec
2015-04-07 07:05:03,429 Stage-4 map = 59%,  reduce = 13%, Cumulative CPU 1729.43 sec
2015-04-07 07:05:09,025 Stage-4 map = 60%,  reduce = 13%, Cumulative CPU 1744.64 sec
2015-04-07 07:05:12,228 Stage-4 map = 61%,  reduce = 13%, Cumulative CPU 1762.55 sec
2015-04-07 07:05:15,425 Stage-4 map = 62%,  reduce = 13%, Cumulative CPU 1773.59 sec
2015-04-07 07:05:18,623 Stage-4 map = 63%,  reduce = 13%, Cumulative CPU 1784.71 sec
2015-04-07 07:05:22,026 Stage-4 map = 64%,  reduce = 13%, Cumulative CPU 1795.96 sec
2015-04-07 07:05:33,760 Stage-4 map = 65%,  reduce = 13%, Cumulative CPU 1845.84 sec
2015-04-07 07:05:45,708 Stage-4 map = 66%,  reduce = 13%, Cumulative CPU 1893.25 sec
2015-04-07 07:05:52,327 Stage-4 map = 67%,  reduce = 13%, Cumulative CPU 1910.04 sec
2015-04-07 07:06:04,055 Stage-4 map = 68%,  reduce = 13%, Cumulative CPU 1958.91 sec
2015-04-07 07:06:22,343 Stage-4 map = 69%,  reduce = 13%, Cumulative CPU 2018.9 sec
2015-04-07 07:06:31,086 Stage-4 map = 70%,  reduce = 13%, Cumulative CPU 2059.16 sec
2015-04-07 07:06:59,154 Stage-4 map = 71%,  reduce = 13%, Cumulative CPU 2153.3 sec
2015-04-07 07:07:10,004 Stage-4 map = 72%,  reduce = 13%, Cumulative CPU 2182.7 sec
