0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 
0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 'l_orderkey','revenue','o_orderdate','o_shippriority'
'437819301','513871.15630000003','1995-03-15','0'
'1441444964','506157.56799999997','1995-03-14','0'
'1427254370','496896.63969999994','1995-03-17','0'
'883746183','484170.69599999994','1995-03-17','0'
'678994849','478455.9453','1995-02-25','0'
'850683652','473726.0439','1995-03-16','0'
'215426915','472448.76629999996','1995-02-19','0'
'1246908389','468902.20999999996','1995-02-28','0'
'96870149','468152.9719','1995-03-13','0'
'130792997','467075.2611','1995-03-11','0'
0: jdbc:hive2://h01hn02:10500/tpch_flat_orc_2> 
