0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> tmp1.i_category,tmp1.i_class,tmp1.i_brand,tmp1.s_store_name,tmp1.s_company_name,tmp1.d_moy,tmp1.sum_sales,tmp1.avg_monthly_sales
Shoes,womens,amalgedu pack #2,able,Unknown,2,1.9717239976390228E7,3.729346300597839E7
Shoes,womens,amalgedu pack #2,cally,Unknown,2,1.963114696202398E7,3.63765988188403E7
Shoes,womens,amalgedu pack #2,eing,Unknown,4,2.066190333173161E7,3.73092523795184E7
Shoes,womens,amalgedu pack #2,bar,Unknown,2,2.1090956083464507E7,3.763507415352779E7
Shoes,womens,amalgedu pack #2,able,Unknown,4,2.0782281017722704E7,3.729346300597839E7
Shoes,womens,amalgedu pack #2,ese,Unknown,2,2.086041873847886E7,3.72923190238042E7
Shoes,womens,amalgedu pack #2,bar,Unknown,6,2.1225850543998323E7,3.763507415352779E7
Shoes,womens,amalgedu pack #2,ese,Unknown,6,2.095110389039977E7,3.72923190238042E7
Shoes,womens,amalgedu pack #2,eing,Unknown,2,2.103708537061719E7,3.73092523795184E7
Shoes,womens,amalgedu pack #2,eing,Unknown,7,2.1048368368501928E7,3.73092523795184E7
Shoes,womens,amalgedu pack #2,bar,Unknown,7,2.146113624076709E7,3.763507415352779E7
Shoes,womens,amalgedu pack #2,bar,Unknown,4,2.1468756091508485E7,3.763507415352779E7
Men,pants,exportiimporto #2,bar,Unknown,2,1.9365906617400657E7,3.545524630882465E7
Shoes,womens,amalgedu pack #2,cally,Unknown,6,2.029885029741571E7,3.63765988188403E7
Shoes,womens,amalgedu pack #2,able,Unknown,6,2.1259058878241975E7,3.729346300597839E7
Men,pants,exportiimporto #2,ese,Unknown,2,1.942830176079566E7,3.545823248679929E7
Shoes,womens,amalgedu pack #2,ese,Unknown,5,2.136455068658501E7,3.72923190238042E7
Men,pants,exportiimporto #2,able,Unknown,4,1.9345418913952816E7,3.525065128818294E7
Shoes,womens,amalgedu pack #2,ese,Unknown,4,2.1463136017694138E7,3.72923190238042E7
Men,pants,exportiimporto #2,eing,Unknown,6,1.9586423434063412E7,3.540858017613927E7
Shoes,womens,amalgedu pack #2,cally,Unknown,4,2.055576126375165E7,3.63765988188403E7
Shoes,womens,amalgedu pack #2,able,Unknown,3,2.1508705230285726E7,3.729346300597839E7
Shoes,womens,amalgedu pack #2,eing,Unknown,3,2.1529845790074624E7,3.73092523795184E7
Men,pants,exportiimporto #2,cally,Unknown,2,1.8707741964811057E7,3.442701860866819E7
Men,pants,exportiimporto #2,eing,Unknown,2,1.9709577742503073E7,3.540858017613927E7
Men,pants,exportiimporto #2,able,Unknown,2,1.9571491128092185E7,3.525065128818294E7
Shoes,womens,amalgedu pack #2,eing,Unknown,5,2.1639585759682264E7,3.73092523795184E7
Shoes,womens,amalgedu pack #2,ese,Unknown,3,2.1740750519044325E7,3.72923190238042E7
Shoes,womens,amalgedu pack #2,bar,Unknown,3,2.2149857586629473E7,3.763507415352779E7
Men,pants,exportiimporto #2,ese,Unknown,3,2.0012236737143416E7,3.545823248679929E7
Men,pants,exportiimporto #2,ese,Unknown,6,2.005164886476542E7,3.545823248679929E7
Men,pants,exportiimporto #2,ese,Unknown,4,2.005539391932515E7,3.545823248679929E7
Men,pants,exportiimporto #2,cally,Unknown,6,1.9052872713704E7,3.442701860866819E7
Shoes,womens,amalgedu pack #2,cally,Unknown,5,2.1004104578109466E7,3.63765988188403E7
