0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> i_product_name,i_brand,i_class,i_category,qoh
ationoughtn steseeingpri,NULL,NULL,NULL,448.9107142857143
ationoughtn steseeingpri,amalgexporti #2,NULL,NULL,448.9107142857143
ationoughtn steseeingpri,amalgexporti #2,newborn,NULL,448.9107142857143
ationoughtn steseeingpri,amalgexporti #2,newborn,Children,448.9107142857143
priableeseoughteingable,NULL,NULL,NULL,449.1556886227545
priableeseoughteingable,scholarunivamalg #6,NULL,NULL,449.1556886227545
priableeseoughteingable,scholarunivamalg #6,karoke,NULL,449.1556886227545
priableeseoughteingable,scholarunivamalg #6,karoke,Electronics,449.1556886227545
priableeseeingpripri,NULL,NULL,NULL,449.8913480885312
priableeseeingpripri,exportiedu pack #2,NULL,NULL,449.8913480885312
priableeseeingpripri,exportiedu pack #2,kids,NULL,449.8913480885312
priableeseeingpripri,exportiedu pack #2,kids,Shoes,449.8913480885312
antibarantioughtn st,NULL,NULL,NULL,450.0366598778004
antibarantioughtn st,corpunivamalg #12,NULL,NULL,450.0366598778004
antibarantioughtn st,corpunivamalg #12,musical,NULL,450.0366598778004
antibarantioughtn st,corpunivamalg #12,musical,Electronics,450.0366598778004
n stoughtbarationpri,NULL,NULL,NULL,450.4040404040404
n stoughtbarationpri,corpmaxi #10,NULL,NULL,450.4040404040404
n stoughtbarationpri,corpmaxi #10,golf,NULL,450.4040404040404
n stoughtbarationpri,corpmaxi #10,golf,Sports,450.4040404040404
n steingationcallyablepri,NULL,NULL,NULL,450.9191919191919
