0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> dt.d_year,brand_id,brand,ext_price
1998,1001001,amalgamalg #1,5.877866247761633E8
1998,2002001,importoimporto #1,5.767480450974947E8
1998,1003001,exportiamalg #1,5.727444313324423E8
1998,4004001,edu packedu pack #1,5.702434851715714E8
1998,3001001,amalgexporti #1,5.696463054122802E8
1998,4001001,amalgedu pack #1,5.693647391281105E8
1998,1004001,edu packamalg #1,5.629370263356658E8
1998,2003001,exportiimporto #1,5.528576042035143E8
1998,3004001,edu packexporti #1,5.38800447947616E8
1998,2001001,amalgimporto #1,5.245161896917679E8
1998,4002001,importoedu pack #1,5.201822671514473E8
1998,3002001,importoexporti #1,4.8876476288790405E8
1998,4003001,exportiedu pack #1,4.753693457716084E8
1998,5001001,amalgscholar #1,4.544171658097137E8
1998,3003001,exportiexporti #1,4.536650338440135E8
1998,1002001,importoamalg #1,4.432254393162847E8
1998,5004001,edu packscholar #1,4.384673008286919E8
1998,2004001,edu packimporto #1,4.288813214653704E8
1998,5003001,exportischolar #1,3.8776363738988364E8
1998,1004002,edu packamalg #2,3.57574982665956E8
1998,5002001,importoscholar #1,3.571449386899118E8
1998,2003002,exportiimporto #2,3.51238699958493E8
1998,3002002,importoexporti #2,3.4733102163128537E8
1998,2004002,edu packimporto #2,3.348213217037648E8
1998,5003002,exportischolar #2,3.337659681211686E8
1998,2001002,amalgimporto #2,2.9989504551118284E8
1998,3003002,exportiexporti #2,2.889730740482922E8
1998,4004002,edu packedu pack #2,2.826944290365874E8
1998,1001002,amalgamalg #2,2.777319691764884E8
1998,3001002,amalgexporti #2,2.718443008065756E8
1998,4003002,exportiedu pack #2,2.690337586068135E8
1998,5001002,amalgscholar #2,2.6502806452422535E8
1998,3004002,edu packexporti #2,2.625796734349619E8
1998,5002002,importoscholar #2,2.49014729049542E8
1998,1003002,exportiamalg #2,2.4799044360985488E8
1998,4002002,importoedu pack #2,2.3336709435742956E8
1998,4001002,amalgedu pack #2,2.109693178487264E8
1998,1002002,importoamalg #2,1.887219137505707E8
1998,5004002,edu packscholar #2,1.789442875635013E8
1998,2002002,importoimporto #2,1.7131793094951114E8
1998,8004005,edu packnameless #5,8.847704467568699E7
1998,6005001,scholarcorp #1,8.537821277736709E7
1998,9006005,corpmaxi #5,8.209971756796597E7
1998,6012005,importobrand #5,7.195654772483215E7
1998,7016001,corpnameless #1,7.11619150214543E7
1998,6003003,exporticorp #3,6.919404896432936E7
1998,9007008,brandmaxi #8,6.744162911775275E7
1998,9014008,edu packunivamalg #8,6.633902365064007E7
1998,9003005,exportimaxi #5,6.5901091666118644E7
1998,9001009,amalgmaxi #9,6.523189906425102E7
1998,9009002,maximaxi #2,6.430735083439476E7
1998,6014007,edu packbrand #7,6.3950915307417765E7
1998,7001005,amalgbrand #5,6.26106386847299E7
1998,9015002,scholarunivamalg #2,6.088726479236973E7
1998,9002002,importomaxi #2,6.05258522918918E7
1998,8011005,amalgmaxi #5,5.917435233755702E7
1998,8009009,maxinameless #9,5.8850729924796894E7
1998,8006009,corpnameless #9,5.7827505970840424E7
1998,10003004,exportiunivamalg #4,5.7732483785285294E7
1998,9007002,brandmaxi #2,5.763559128652272E7
1998,6003005,exporticorp #5,5.7429257568070896E7
1998,8008005,namelessnameless #5,5.7200027615641385E7
1998,9004005,edu packmaxi #5,5.718049865782932E7
1998,6016003,corpbrand #3,5.703944373097579E7
1998,9004008,edu packmaxi #8,5.6193046822062835E7
1998,7004004,edu packbrand #4,5.531442847762812E7
1998,8013007,exportimaxi #7,5.530880058953506E7
1998,7012007,importonameless #7,5.465054285192822E7
1998,9015003,scholarunivamalg #3,5.4438567599451214E7
1998,6010007,univbrand #7,5.4108538920163676E7
1998,7004009,edu packbrand #9,5.39729288446597E7
1998,9011009,amalgunivamalg #9,5.359782665911435E7
1998,9007011,brandmaxi #11,5.3386405865591735E7
1998,6013005,exportibrand #5,5.31241475709008E7
1998,6014003,edu packbrand #3,5.289520708596252E7
1998,9011008,amalgunivamalg #8,5.237148642390551E7
1998,10015003,scholaramalgamalg #3,5.149230223135695E7
1998,6013007,exportibrand #7,5.14889336063934E7
1998,8001001,amalgnameless #1,5.112494754015914E7
1998,10007002,brandunivamalg #2,5.071138315167174E7
1998,7007005,brandbrand #5,4.983563404788296E7
1998,9012003,importounivamalg #3,4.9672842242189884E7
1998,8004003,edu packnameless #3,4.926171971934611E7
1998,7006006,corpbrand #6,4.8905293282913014E7
1998,10002003,importounivamalg #3,4.888735465079455E7
1998,8009003,maxinameless #3,4.8628286067050636E7
1998,8014005,edu packmaxi #5,4.853860132739593E7
1998,7011001,amalgnameless #1,4.83364666407889E7
1998,9005009,scholarmaxi #9,4.802774106590422E7
1998,9015011,scholarunivamalg #11,4.7377596035554975E7
1998,6011003,amalgbrand #3,4.725091278231825E7
1998,9006009,corpmaxi #9,4.7027064163588956E7
1998,7012005,importonameless #5,4.697510440140849E7
1998,7006001,corpbrand #1,4.6846606398851275E7
1998,9006003,corpmaxi #3,4.679445780788354E7
1998,8012003,importomaxi #3,4.6640474383243605E7
1998,8007003,brandnameless #3,4.624375132408452E7
1998,7007004,brandbrand #4,4.6141931474846035E7
1998,9008002,namelessmaxi #2,4.5847169239136085E7
1998,8005005,scholarnameless #5,4.561126873784966E7
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
