0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> dw2.i_category,dw2.i_class,dw2.i_brand,dw2.i_product_name,dw2.d_year,dw2.d_qoy,dw2.d_moy,dw2.s_store_id,dw2.sumsales,dw2.rk
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0105648896892684E13,1
,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.423183679942707E10,1
,,NULL,NULL,NULL,NULL,NULL,NULL,1.2563997326539227E10,2
,,,NULL,NULL,NULL,NULL,NULL,6.016351640872065E9,3
,,,,NULL,NULL,NULL,NULL,2.75319964792235E9,4
,,,,1999,NULL,NULL,NULL,2.0039191652354949E9,5
,,,,1999,2,NULL,NULL,1.4930248170622954E8,69
,,,,1999,2,6,NULL,1.4544730769967416E8,73
,,,,1999,3,NULL,NULL,6.970243616936902E8,8
,,,,1999,3,7,NULL,1.1945791063191983E8,95
,,,,1999,3,8,NULL,2.852295058762154E8,24
,,,,1999,3,9,NULL,2.832802219780968E8,27
,,,,1999,4,NULL,NULL,1.1575923218355713E9,6
,,,,1999,4,10,NULL,2.8503158445611405E8,25
,,,,1999,4,11,NULL,4.233872456751251E8,13
,,,,1999,4,12,NULL,4.49173491704333E8,12
,,,,2000,NULL,NULL,NULL,7.492804826868601E8,7
,,,,2000,1,NULL,NULL,4.524830454688245E8,11
,,,,2000,1,1,NULL,1.8408844761937934E8,54
,,,,2000,1,2,NULL,1.387296040570564E8,80
,,,,2000,1,3,NULL,1.2966499379238853E8,86
,,,,2000,2,NULL,NULL,2.9679743721803564E8,22
,,,,2000,2,4,NULL,1.501528095408077E8,68
,,,,2000,2,5,NULL,1.4664462767722797E8,72
,,amalgedu pack #2,NULL,NULL,NULL,NULL,NULL,1.432754610985785E8,75
,,amalgimporto #2,NULL,NULL,NULL,NULL,NULL,1.34569147618037E8,84
,,edu packexporti #1,NULL,NULL,NULL,NULL,NULL,2.0559179180841422E8,38
,,edu packexporti #1,,NULL,NULL,NULL,NULL,2.0559179180841422E8,38
,,edu packexporti #1,,1999,NULL,NULL,NULL,1.6875291469144312E8,61
,,edu packimporto #1,NULL,NULL,NULL,NULL,NULL,1.7004007402822286E8,60
,,exportiedu pack #1,NULL,NULL,NULL,NULL,NULL,1.4831086728147238E8,70
,,exportiimporto #2,NULL,NULL,NULL,NULL,NULL,1.1597879192831776E8,100
,,importoedu pack #1,NULL,NULL,NULL,NULL,NULL,1.791985566064371E8,56
,,importoedu pack #1,,NULL,NULL,NULL,NULL,1.791985566064371E8,56
,,importoedu pack #1,,1999,NULL,NULL,NULL,1.5367826305659324E8,66
,,importoexporti #1,NULL,NULL,NULL,NULL,NULL,1.3501806817179176E8,81
,,importoexporti #2,NULL,NULL,NULL,NULL,NULL,1.2142476506332879E8,92
,,importoscholar #1,NULL,NULL,NULL,NULL,NULL,1.7244304458189413E8,59
,,importoscholar #1,,NULL,NULL,NULL,NULL,1.2359285638502145E8,89
,,importoscholar #1,,1999,NULL,NULL,NULL,1.2282454418498994E8,91
,archery,NULL,NULL,NULL,NULL,NULL,NULL,1.4131073210406664E8,77
,athletic,NULL,NULL,NULL,NULL,NULL,NULL,3.564051348142627E8,18
,athletic,,NULL,NULL,NULL,NULL,NULL,2.291936462566263E8,33
